NewsTitle,story
Investor Complacency Following Fed News,"Market Moves Stocks closed slightly higher today among large-cap stock indexes. The S&P 500 ( SPX ), the Nasdaq 100 ( NDX ), and the Dow Jones Industrial Average ( DJX ) all lifted toward new highs after the Fed decision left rates unchanged today. The Russell 2000 ( RUT ) small-cap index was slightly below yesterday's change, and the Russell Microcap index ( RUMIC ) was higher by one-quarter of one percent. The market had expected the Federal Open Market Comittee (FOMC) to hold interest rates unchanged; however the committee members' sentiments expressed confidence that employment conditions would remain favorable, inflation would remain low, and interest rates would likely need not change for the entire duration of 2020 (see chart of the Fed's dot-plot below). The market did not react to such news in a big way, but subtle indications suggest that more buyers may enter the market in the days to come. Odd Mix of Technology and Utility Stocks Lead after Fed The chart below shows a one-minute breakdown by sector of how stocks responded after the Fed announcement. The two sectors leading out, with just over 30 minutes to go before the market close, were technology and utilities. This unlikely pair shows how investors immediately began to place money into sectors that would gain benefits from continued low interest rates. The losers in this scenario turned out to be the stocks in the financial sector, where the businesses stand to benefit from rising interest rates or interest rate differentials. Astute investors will recognize that this is a likely clue signalling which stocks may perform well in the days and weeks ahead. Subtle Signal Found in Interest-Rate Sensitive Sectors Another indication involving the utility sector stocks seems to indicate that investors will be likely to lift stock prices higher in the next several weeks. The chart below shows a comparison of relative strength between two sectors that are typically influenced by interest-rate decisions. Utility stocks tend to fall as interest rates rise, and the basic-materials sector stocks tend to fall as inflation wanes. Comparing the relative strength of these two sectors should prove insightful. Using State Street's utility-sector index ETF ( XLU ) and comparing it with the basic-materials-sector index ETF ( XLB ), we can see an interesting pattern emerge. The chart features a five-day moving average (green line) on the comparison line in the upper panel, and the S&P 500 ETF ( SPY ) in the lower panel. As the green line makes a turn down, it seems to signal a rise to follow in SPY, while a turn up presages a drop. Since this line has made a double-turn down, it may be an indication that investors are preparing to move money from more conservative investments to more opportunistic trades. The Bottom Line Stocks moved slightly higher after the release of the FOMC statement today. Fed directors expressed confidence in stable market environments for the foreseeable future. Subtle indications abound that stocks may continue higher in the days and weeks to come. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
Fed Decision Could Signal Turning Point in Fourth Quarter Rally,"The Federal Open Market Committee (FOMC) lowered interest rates by a quarter point on Wednesday afternoon, as expected, while Chairman Jerome Powell told a press conference that rate cuts were done for now. The mixed news triggered an initial sell-off that was bought quickly, yielding a strong uptick into the closing bell. The S&P 500 and the Dow Jones Industrial Average posted bullish outside candlesticks that reflect a modest triumph of bulls over bears. Gold surged on the news, with the headwind of lower rates taken off the table for now. This could generate an intermediate bottom for the yellow metal while setting the stage for another trend advance. Banks went in the other direction, dumping sector indices to intraday lows in a reversal that could presage tougher times for the group in coming weeks. And most importantly, bonds surged higher, signaling a potential bottom after a modest pullback off August's multi-year high. TradingView.com The SPDR Gold Trust ( GLD ) topped out at $186 in 2011 after a multi-year uptrend and sold off to $100 in 2015. Price action posted a long series of lower highs between 2013 and 2018, carving a trendline that was mounted on high volume in June 2019. The subsequent uptrend stalled in August after crossing the 50% sell-off retracement, giving way to an intermediate correction that's been testing support at the 50-day exponential moving average (EMA) for the past six weeks. The fund bounced at the moving average once again after the Fed decision, posting a bullish outside day that may complete the next stage of a bottoming pattern. The weekly stochastics oscillator entered a buy cycle last week, predicting relative strength that could last into year end. This tailwind may support a test at the summer high and a breakout that will face heavy resistance between $150 and $155. TradingView.com The SPDR S&P Bank ETF ( KBE ) sold off from $60 into the single digits during the 2008 economic collapse and turned higher into the new decade, carving a shallow uptrend that stalled at the .786 Fibonacci sell-off retracement level in January 2018. It completed a topping pattern at that level and broke down in October, dumping to a two-year low in December. The bounce into 2019 stalled in the mid-$40s in March, yielding three failed breakout attempts into this week's rate decision. The fund reversed at resistance for the fourth time in Wednesday's session, but greater downside is required to confirm another failed breakout attempt. The ETF is trading lower once again on Thursday morning, but sell signals will need to wait until a decline breaks the 200-week EMA at $41.75. Downside could escalate quickly if that happens, bringing the August low in the upper $30s into play. TradingView.com The iShares 20+ Year Treasury Bond ETF ( TLT ) entered a broad rising channel after posting a new high in 2008, with 2012, 2015, and 2016 rallies ending at channel resistance. The fund mounted the 2016 high in August 2019 and reversed a few weeks later, prior to reaching that contested level. The intermediate correction into late October has been testing the breakout level through a diagonal pattern that's still in progress. The weekly stochastics oscillator is engaged in a complex sell cycle that began in early September and still hasn't crossed into the oversold zone, indicating that bears remain in charge after the Fed meeting. However, the fund posted the strongest rally in four weeks after the news, suggesting that short-term support at $137 will hold and provide a trading floor for new long positions in coming weeks. The Bottom Line Rate-sensitive instruments took notice of Chairman Powell's decision to stop rate cuts for now, with gold and bonds rallying strongly while banks sold off. This price action could signal a major turning point in the fourth quarter rally. Disclosure: The author held no positions in the aforementioned securities or their derivatives at the time of publication."
Apple Results Surprise Investors,"Market Moves Stocks pulled back mildly today as trade deal chatter turned negative. The news didn't stop investors from buying up Apple Inc. ( AAPL ) shares as the company beat estimates and raised guidance . This was no mean feat since investors had already priced in very high expectations for the company's results. Even though iPhone sales disappointed expectations, iPad sales and the sales of Apple TV subscriptions greatly exceeded what investors forecast. Apple's headlines captured most of the attention from investors after yesterday's closing bell. However, 30 minutes after Apple reported its quarterly results, a significant earnings surprise came from a company that few if any expected to make headlines. Shares of Murphy USA Inc. ( MUSA ), an Arkansas-based specialty retailer that operates a chain of gas and grocery stores located primarily in the Midwest, jumped over 24% on its latest quarterly news. It seems that this is yet another company whose surprising results came from operations conducted in this region. It may be worth considering whether there is more to this trend than a few isolated anomalies. Convenience Is Key Over the summer, consumer staples stocks surged, led by companies in the fast food and retail industry groups, while technology stocks lagged. When September's end seemed to wake up technology investors, the fast food industry stumbled. But retail stores of one kind or another have seemed to hang on to their gains. While the consumer staples sector, as tracked by State Street's SPDR Consumer Staples ETF ( XLP ), has topped 25% gains this year already, certain stocks within the sector have surpassed expectations. A comparison of some of these companies, shown in the chart below, details how McDonald's Corporation ( MCD ), Dunkin' Brands Group, Inc. ( DNKN ), Starbucks Corporation ( SBUX ), and The Wendy's Company ( WEN ) have done well so far but lately have been eclipsed by stocks like Dollar General ( DG ) and Murphy USA stores. These stocks cater to people in the Midwest small towns, people whose livelihoods have been revitalized by a surging economy. Is it possible that these companies are riding a wave of consumerism driven by more discretionary cash available from their customers? Read more: Apple Stock Testing All-Time High After Strong Quarter Fed Decision Could Signal Turning Point in Fourth Quarter Rally $4 Trillion ETF Industry Faces Shakeout in 'Oversaturated Market' Is the Trump Economy Trickling Down? The comparison between Dollar General shares and Murphy USA shares is not insignificant. Both of these companies surprised investors on their recent earnings reports. With MUSA shares up strongly today, both of these companies have risen 40% in the past two quarters. Notably, both of these companies share a similar customer base. Small towns throughout the rural Midwest are significantly served by these and other companies. It may be possible that the repatriation of factory jobs and other initiatives have led to a more financially empowered consumer segment in this region. Investors would do well to watch for other companies that may be reaping similar benefits. The Bottom Line Stocks closed lower as traders exhibited mild profit-taking action on trade talk news. Apple's earnings did manage to exceed the already high expectations of investors. The fact that flyover-state companies might be doing well may not be simply a coincidence. As Murphy USA shares jumped to bring them on par with the performance of Dollar General share prices, an astute observer might be tempted to wonder if there are more stock-price jumps like theirs still yet to come. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
Investors Show Willingness to Take Risks,"Market Moves Markets gapped higher and stayed in a tight range to close out Monday's session. However, small- and micro-cap stocks led the way higher and closed above their respective trendlines . This could signal that investors are much more willing to take on risks than they have been in the past several months. During the month of October, the iShares Russell 2000 ETF ( IWM ) for small-cap stocks and the iShares Microcap ETF ( IWC ) for micro-cap stocks outpaced the large-cap indexes for the first time all year. Perhaps because the major U.S. stock market indexes extended their streak of calm trading days, investors are anxious to seek out gains. In what is now the seventeenth straight trading day, the S&P 500 ( SPX ), the Nasdaq 100 ( NDX ), and the Dow Jones Industrial Average ( DJX ) all exhibited a downtrend in their average true range . This is often a bullish signal, but it also describes markets that are not rising as fast as they had been in previous weeks and months. When such action takes place, investors become impatient and seek out greater opportunities for growth. Douglas Dynamics Plows Higher Douglas Dynamics, Inc. ( PLOW ), a maker of truck parts and snow-plow equipment, is the best performing micro-cap stock in the top 10 holdings of the iShares Microcap ETF. The stock price is up nearly 40% in 2019. The company continues to outperform expectations, and dividend payments provide a yield of 2% per year. The company will report its earnings tomorrow (Tuesday) about 30 minutes after the market opens. Read more: How Bearish Corporate Earnings Are Broadening the Bull Market Rally Microsoft Shares Are Surging With Huge Demand Odd Lot Trading on the Rise Microsoft Moving Up in the Cloud Microsoft Corporation's ( MSFT ) cloud-services offerings have finally begun to come into their own, and investors have noticed. Shares of Microsoft have held above the resistance level they broke through after the company announced that it had won a multi-billion-dollar government contract for cloud services. Today's price action reinforced the notion that institutional sellers want to take profit, as the stock sold off mildly from the beginning of today's session to the end. The real question is whether or not the current cluster of prices above old resistance levels will be followed by a drop in prices back into the old trading range. Such price action would be a bearish signal. The Bottom Line Stocks closed higher again today despite holding a tight trading range. Small-cap and micro-cap stocks seem to be outpacing larger-cap stocks in the final quarter of the year. Among such stocks, Douglas Dynamics is a standout. Microsoft also has interesting trading dynamics, but if the stock price drops sharply, it could be a bearish signal not only for Microsoft shares but for the larger market as well. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
5 Charts That Counter Bearish Headlines,"Glass half full or half empty? Maybe the answer lies in sleep. Did you know that, if you sleep on your left side, you are more likely to have nightmares than if you sleep on your right? According to some studies published on the subject , your physical position affects your subconscious attitudes. When it comes to opinions on the market, most people must sleep on the left and are prone to nightmares. I sleep on the right. And here's the deal: all signs point to bullishness, despite the headlines desperate to get attention. The news is trying to bring everyone down. They write catchy headlines like: ""This is why the market could be 30% lower next year,"" or something similar. We've seen so many negative and shocking headlines, but it's important to remind ourselves that the market is at all-time highs. Here's what I see: big buyers are back. And man, that's bullish. Demand for equities is driving the market higher. I can say that based on measured evidence of big money investors buying up stocks. Below is a chart put out by Mapsignals. It shows net buy/sell signals each day. A green bar means more buys than sells for a given day. Red bars are days when sells are larger than buys. As an example, 90 buys and 50 sells results in a 40 green bar. After big red sticks, look for green, which means higher prices ahead to us. www.mapsignals.com We are seeing a big imbalance in signals now for the third week in a row. The average buy-to-sell ratio has been 2.6:1 for the prior two weeks. But this past week, it was 3.5:1. That will boost our Mapsignals Big Money Index (MBMI) in the coming days. A rising MBMI (more buying than selling) usually means a higher market. The flood of money coming into stocks can be seen in a few places. Each of the yellow buy columns below represents a sector seeing unusually large buying. Notice how health care, previously unloved, is coming back and attracting capital? The slaughter of software seems to be over for now, and tech is seeing continual buying in semiconductors and hardware. Elsewhere in the sectors, every sector save consumer staples and energy saw huge buying. Industrials shot to our top sector spot with 73 buys last week. Tech was strong as mentioned. The financial sector is seeing buying in banks. But the biggest story of this past week is the 68 buy signals coming from real estate. The demand from yield -hungry investors is healthy for the market. www.mapsignals.com Energy stocks continue to be the weakest link. We saw 29 sells this past week. On the subject of semiconductors, above, we have a great setup for the semiconductor industry. Look at the chart below showing semiconductor buying vs. the VanEck Vectors Semiconductor ETF ( SMH ). Notice that, when the buy signals vanish, the SMH falls like in July 2015. Then, when the buying picks up, it's off to the races. The SMH ETF rallied 150% over the next three years. Then the buying vanished again, and the index fell, followed by another short spurt of buying. Well guess what? The buying just picked up again in a big way. www.mapsignals.com As far as the market as a whole, as usual, ""ignore the noise"" and focus on the real deal. Thankfully, the real underlying stories amid the annoying news noise corroborate the bull case. The Fed lowered its benchmark funds rate by 25 basis points to a range of 1.5% to 1.75%, as expected. This keeps pressure on the 10-year Treasury yield at 1.73%, while the S&P 500 dividend yield is 1.87%. When stocks yield more than bonds, that's bullish. Ryan Detrick, CMT, points out that the best six-month period for stocks is upon us now. This is the table for the past nearly 70 years. He also points out that the past 10 years look better: higher nine times out of ten, with 8.8% gains on average. Twitter U.S. employers added 128,000 jobs in October, the Bureau of Labor Statistics said in its monthly jobs report. That is a strong number and helped rally shares in a positive reaction. Factory activity in China expanded at its fastest pace in more than two years in October as export orders and production rose, a private business survey showed on Friday. Seeking Alpha pointed out that there is a monstrous amount of capital on the sidelines. Money Market inflows have been climbing in 2019, with assets now totaling $3.49 trillion. Refinitiv Datastream, HORAN Capital Advisors Of S&P 500 companies, 76% beat earnings expectations and 61% beat sales (71% of companies reported as of Nov. 2). Rates are low, there's oodles of money on the sidelines, sales and earnings are working, unloved sectors are catching some juice, China is showing some much-needed signs of life, our economy is strong, and people are still bearish. This sounds like a nice bull setup to us. Maybe tonight, if you're bearish, sleep on your right side. Apparently Ernest Hemingway did too. He said ""I love sleep. My life has the tendency to fall apart when I'm awake, you know?"" The Bottom Line We (Mapsignals) continue to be bullish on U.S. equities in the long term, and we see any pullback as a buying opportunity. Weak markets can offer sales on stocks if an investor is patient. Disclosure: The author holds no positions in any stocks mentioned at the time of publication. Investment Research Disclaimer"
3 Charts That Suggest Agriculture Commodities Are Headed Lower Again,"Traders of agricultural commodities have seen a strong rebound in prices over the past several months. While adverse planting conditions led to a slow start of the growing season, shifts in supply and demand estimates have some traders betting on a rebound. In the paragraphs below, we'll take a look at several charts from across the agricultural commodity market and determine whether it is too early to bet on a reversal of the primary downtrend. Invesco DB Agriculture Fund (DBA) When followers of technical analysis look to get a sense of a sector or market segment's overall trend, they generally turn to tools such as long-term moving averages and trendlines . The most popular fund that is used to gain a sense of a broad basket of the world's most liquid and important widely traded agricultural commodities, such as live cattle, soybeans, corn, cocoa, sugar, wheat, and coffee, is the Invesco DB Agriculture Fund ( DBA ). As you can see from the chart below, the bears have been in control of the momentum for most of the past two years. Active traders will want to note how the 200-day moving average (red line) has prevented the price from moving higher on each attempt to break above. While the gain since September is positive for bullish traders, the proximity of the descending trendline and the 200-day moving average should be enough of a warning that prices could struggle to move higher from here. Bullish traders may want to remain on the sidelines until the price is able to make several consecutive closes above the aforementioned resistance levels before betting on a significant move higher. StockCharts.com iShares Global Agriculture Index ETF (COW) Another popular exchange-traded product that is used to analyze the agriculture sector is the iShares Global Agriculture Index ETF ( COW ). Based on the pattern shown on the chart below, some bullish traders may be looking at the breakout above the descending trendline as a leading indication of a move higher. However, as described above, this long-term level of resistance is often used to gauge the direction of the major trend, and the downward slope suggests that the bears are technically in control. As discussed above, the proximity of the resistance of its 200-day moving average and major trendline should not go unnoticed, and these factors could prove to be the barriers that prevent a shift in the long-term downtrend. StockCharts.com Teucrium Soybean Fund (SOYB) One of the top holdings of the DBA ETF is a position in soybeans. Taking a look at the chart of the Teucrium Soybean Fund ( SOYB ), you can see that the price was able to move above the 200-day moving average, which stands as an anomaly compared to the rest of the sector. Before betting on a move higher, bullish traders will likely want to keep a close eye on whether the price is able to break above the psychological resistance of the $16 mark, which also happens to align with an influential horizontal trendline. StockCharts.com The Bottom Line Rising prices over the past few months have triggered a renewed interest in agricultural commodities by some traders. However, based on the patterns discussed above, it appears as though betting on a move higher from here may not be prudent and that nearby resistance levels could prevent the bulls from changing the direction of the long-term downtrend. At the time of writing, Casey Murphy did not own a position in any of the assets mentioned."
Why Market’s Split Personality Spells Big Trouble for Stocks,"Stocks are reaching new highs, but it’s not because investors are unanimously bullish. Experienced Wall Street players, including hedge funds and institutional investors, have become increasingly pessimistic while inexperienced investors have grown feverishly optimistic. Essentially it’s the smart money versus the dumb money, and when those two groups are in disagreement, it’s generally the smart money that wins out, according to a recent story in Business Insider . “Typically at extremes and directionally, the smart money tends to be right and the dumb money tends to be wrong,” says Liz Ann Sonders, chief investment strategist at Charles Schwab, which has a total of $3.8 trillion in assets under management ( AUM ). Key Takeaways Stock markets are hitting record highs. Smart money investors have grown increasingly pessimistic. Dumb money investors have grown increasingly optimistic. Generally the smart money is right when the two groups diverge. What It Means for Investors There are lots of surveys indicating the sentiment of different types of investors, but Sonders says that what she’s watching is how the big institutional investors are actually positioning their money compared to individual retail investors . Sundial Capital Research’s SentimenTrader, which attempts to track both types of investors, is one of her key sources of data. Based on factors such as positions in equity index futures Sundial constructs statistics to track the sentiment of the two groups of investors, a Smart Money Confidence tracker and a Dumb Money Confidence tracker. The current relationship between those two trackers suggests that the more experienced and successful investors are growing increasingly bearish while the inexperienced ones are becoming increasingly bullish. The gap in sentiment between the two groups has been wider than it currently is at various times throughout the past decade, including late last year just before stocks went tumbling. The current confidence gap suggests inexperienced investors may be a little too optimistic. “Sentiment has started to look a little bit frothy,” said Sonders, arguing that retail investors may be ignoring the broader negative effects stemming from the U.S.–China trade war. The fall 2019 version of the Big Money Poll published by Barron’s confirms the increasingly bearish sentiment of experienced investors. According to the poll, only 27% of money managers that responded to the survey said they were bullish about the market’s prospects over the next year, which is down from 49% in the spring survey and from 56% a year ago. Indeed, the latest results show that the percentage of money managers that are bullish is at its lowest level in more than two decades. Looking Ahead As for confirmation of individual investor sentiment, the AAII Investor Sentiment Survey suggests that group has a generally neutral “outlook” for where stocks are headed. More telling is the fact that overall optimism has declined while pessimism has increased slightly since the last survey. Individual investors appear to wising up and may soon begin following the smart money. If that’s the case, stock markets could be headed south as the holiday season arrives."
3 Bargain ETFs in a Hot Market,"U.S. stocks have outperformed globally over the past several years, but for precisely that reason investors may want to start looking to foreign markets for new opportunities. The divergence in performance between U.S. and foreign markets over the recent past has made the former look extremely overvalued compared to the latter. But with a pivot towards foreign markets likely underway, international stocks and exchange-traded funds ( ETF ) look poised to outperform in the near future, according to a recent story in Barron’s . Key Takeaways U.S. markets have outperformed foreign markets over recent years. U.S. equities look overvalued compared to foreign equities. Foreign equities have made a comeback over the past year. Foreign ETFs may provide investors opportunities for outperformance. What It Means for Investors The S&P 500 has risen 52% over the past five years while the iShares MSCI All Country World Index Ex-U.S. ETF ( ACWX ) has risen just 6%. The stark contrast in performance reflects the favor U.S. equities have garnered over the past half decade as foreign markets have suffered from slower economic growth and negative interest rates. The fact that the U.S. is home to a number of large-cap secular growth stocks has also helped push its markets higher in this current low-growth climate. But those factors have also contributed to U.S. equity valuations that look rich compared to their foreign peers. A shift towards foreign equities is underway as U.S. valuations reach lofty highs and earnings growth. Meanwhile, the global economic slowdown is starting to catch up to the U.S. economy, which is beginning to be reflected in more recent stock performance. Lisa Shalett, chief investment officer for Morgan Stanley Wealth Management, points out that the MSCI Europe Total Return Index has outperformed the S&P 500 Total Return Index over the past year. While the global economic slowdown does not bode well for either U.S. or foreign markets, the grim outlook has likely been mostly priced in. Markets are forward looking and have largely discounted the impacts of the U.S.–China trade war and Brexit , according to Shalett. Of course, if any of those conflicts worsen, there could be more negative fallout for equity prices across the globe. However, central banks around the world have begun shifting towards easier monetary policy, ramping up asset purchases and lowering interest rates in attempts to stimulate growth. Barring any worsening of geo-political and trade relations, those efforts should provide a tailwind for foreign markets, especially cyclical, export-oriented ones. “[T]he rate of change of deterioration and stock prices have stabilized,” says Shalett. “For us, that’s a sign that the worst may already be discounted.” One option for investors looking for exposure to foreign markets is the iShares MSCI EAFE Value ETF ( EFV ), the four biggest holdings of which include, Toyota Motor Corp. ( TM ; American Depositary Receipt ), HSBC Holdings PLC ( HSBC ; ADR), BP Plc. ( BP ; ADR), and Royal Dutch Shell Plc. Class A ( RDS.A ; ADR). Year to date, the fund is up 9.3% and shares trade at a price-to-earnings ratio ( P/E ratio ) of 12.56 , compared to the S&P 500’s P/E ratio of 21.96 . Another option is the iShares Core MSCI Emerging Markets ETF ( IEMG ), with the following top four holdings, Alibaba Group Holding Ltd. Sponsored ADR ( BABA ), Taiwan Semiconductor Manufacturing Co. ( TSM , American Depositary Share ), Tencent Holdings Ltd., and Samsung Electronics Co., Ltd. The fund has risen 10.2% since the start of the year and shares trade at a P/E ratio of 13.89 . The iShares MSCI Japan ( EWJ ) is also an option for investors looking for specific exposure to Japanese equities. The funds four biggest holdings are Toyota, Sony Corporation ( SNE ; ADR), Mitsubishi UFJ Financial Group, Inc. ( MUFG ; ADR), and SoftBank Group Corp. Year to date, the fund has gained about 17% and shares trade at a P/E ratio of 14.50 . Looking Ahead While these three international ETFs have lagged U.S. equity markets this year, their relative undervaluation amid a U.S. economy that is showing signs of slowing are likely going to provide positive tailwinds for their performance over the next year."
The 5 Most Important Lessons From the 1929 Crash That Matter Today,"The Great Stock Market Crash of 1929 was a wrenching event for investors, touching off a severe bear market that eventually sent stock prices plummeting by 89% over nearly 3 years. That crash took place in late October of 1929, and its 90th anniversary is a time to review five key lessons for investors today, as they try to prepare for the next big meltdown, according to a detailed analysis in a column in The Wall Street Journal by Jason Zweig, as outlined below. These five takeaways are: (1) "" buy and hold "" long term investing does not guarantee gains, (2) paying huge premiums for growth can be risky, (3) the next crash may come unexpectedly, (4) a crash may come even if corporate profits are rising, and (5) reaching the bottom may take much longer than most experts think. Key Takeaways The Stock Market Crash of 1929 has 5 key lessons for today. Buy and hold investing does not guarantee long term gains. Paying heavily for growth can be risky. A crash may come when it is completely unexpected. A crash may occur despite rising corporate profits. It may take years for stocks finally to hit bottom. Significance for Investors The 5 lessons are explored in more depth below. 1. Buy and hold investing is not a sure bet. Even over the course of decades, it may be a losing strategy. The Dow Jones Industrial Average (DJIA) was the most-watched stock market barometer for many years both prior to and after the 1929 crash. From its peak in Sept. 1929 to its trough in July 1932, the Dow plunged by 89%. It took just over 25 years, to Nov. 1954, for the Dow to regain its Sept. 1929 peak. However, buy and hold investors would have been receiving dividends in the interim, so they theoretically could have recouped their losses on a total return basis some years earlier. Nonetheless, still stung by the crash, only 7% of middle class households in 1954 told a Federal Reserve survey that they preferred to invest in stocks rather than savings bonds, bank accounts, or real estate. 2. Paying big premiums for growth is risky . While the shares of many major companies had P/E ratios of about 14 to 19 times earnings at the 1929 market peak, some of the premier growth companies were much more expensive. For example, Radio Corporation of America (RCA), a high-flying tech stock in today's parlance, peaked at 73 times earnings and more than 16 times book value , valuations similar to that of Amazon.com Inc. ( AMZN ) today. Additionally, in 1929 some investors were willing to pay huge fees to entrust their money to star investment managers. In this vein, a publication called The Magazine of Wall Street claimed that it was “reasonable” to pay between 150% and 200% more than a fund’s net asset value “if the past record of management indicates that it can average 20 percent or more.” 3. Crashes are often unforeseen. Few, if any, leading market watchers in 1929 anticipated a crash. An exception was economic forecaster Roger Babson, but he had been telling investors to dump stocks since 1926. In the interim, the Dow rose by about 150% to its 1929 peak. 4. A crash may come while profits are rising. In 1929, corporate profits were growing much faster than stock prices and, as noted above, the shares of many leading companies traded at reasonable valuations by historic standards. In 2019, however, many companies are reporting profit declines. 5. A crash may take years to bottom out. The Dow lost a cumulative 23% on Oct. 28 and Oct. 29, 1929, dates known as ""Black Monday"" and "" Black Tuesday ."" Following fierce selloffs during the previous week, by this point the Dow was down by almost 40% from its high on Sept. 3, 1929. The most eminent market watchers of the day thought that the worst was over, but, as noted above, the bear market would persist into July 1932, with yet larger declines ahead. Roger Babson finally turned bullish in late 1930 and by May 1931 he was advising investors to load up heavily on stocks. The Dow would plunge by about 70% from that point to its eventual trough in July 1932. Looking Ahead An old adage in investing is that ""trees don't grow to the sky."" The next bear market is inevitable, but when it starts, how long it lasts, and how deeply it plunges are all unknowns. Another inevitability is that pundits who predicted a crash will claim prescience, even if their timing was off by years. Roger Babson was an early pioneer in this regard."
Cured by a Cut,"Market Moves Investors expected the Fed to cut rates, so it was not surprising to hear the news that they did. What was surprising, however, was that after investors digested the news, they began steadily buying shares right up to the close. The S&P 500 ( SPX ) and the Nasdaq 100 ( NDX ) both closed at all-time highs as investors demonstrated their lack of fear in the face of foreign and domestic political pressures. The chart below shows, in 15-minute time intervals, how State Street's SPDR S&P 500 ETF ( SPY ) traded in a range for about 30 minutes as investors absorbed the information, but then began trudging higher as investors showed their disposition to take on new risk and buy more stocks. This confirms signals that had been given in the market over the past two days showing that investors were more willing to seek investment opportunity and could begin a new upward trend in stock prices. Small-Cap Stocks Gain Steam One of the earlier indications of investor sentiment has been the surge in small-cap stocks, as shown by the comparison in the chart below. Comparing various exchange-traded funds including iShares' Russell 2000 index fund ( IWM ), Microcap index fund ( IWC ), Invesco's Nasdaq 100 tracking fund ( QQQ ), State Street's Midcap index fund ( MDY ), S&P 500 ETF, and Dow Jones Industrial index fund ( DIA ), a shift of dollars from larger-cap stocks towards smaller-cap stocks appears to be underway. This is clearly indicative of an attitude among investors that now is the time to take on new risk. Read more: The Future of Fintech Spotify Rockets Higher After Posting Surprise Profit Kellogg Earnings Beat Lifts Packaged Food Stocks NovoCure May Attract New Investor Interest Among the 2,000 stocks Russell Investments tracks that make up the eponymous index of small-cap stocks, the second largest single holding is NovoCure Limited ( NVCR ). This company's shares doubled in value and then fell to half that gain in just the past six months (see chart below). Vastly outpacing the rest of the index, the company's prospects may be much improved in an environment where investors' appetite for riskier opportunities has increased. The Bottom Line Stocks hit new all-time highs at the close of the session after Fed officials announced another quarter-point rate cut. Small-cap stocks are on pace to outperform other stock-related asset classes. Among such stocks, NovoCure has had a fantastic run, but its deep pullback may spell opportunity for new investors hungry for unusual gains. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
